Player,Position,Team,KeeperRound,AcquisitionType,DraftTeam,IsPriorKeeper
"Ja'Marr Chase",WR,CIN,1,"Drafted (Round 1)","JRZ",NO
"Saquon Barkley",RB,PHI,1,"Drafted (Round 1)","Comfy In Chair",NO
"Bijan Robinson",RB,ATL,1,"Drafted (Round 1)","The Curious Case of Cookus",NO
"Jahmyr Gibbs",RB,DET,1,"Drafted (Round 1)","Kryponite",NO
"Justin Jefferson",WR,MIN,1,"Drafted (Round 1)","Fat Lazy Americans",NO
"CeeDee Lamb",WR,DAL,1,"Drafted (Round 1)","CopperTheBigRedDog",NO
"Amon-Ra St. Brown",WR,DET,1,"Drafted (Round 1)","Jesus take the wheel",NO
"Christian McCaffrey",RB,SF,1,"Drafted (Round 1)","My Balls Are Afoot",NO
"Derrick Henry",RB,BAL,1,"Drafted (Round 1)","Unicorn Love",NO
"Ashton Jeanty",RB,LV,1,"Drafted (Round 1)","Dolphin Boobiez",NO
"Malik Nabers",WR,NYG,1,"Drafted (Round 1)","Olivators",NO
"Jonathan Taylor",RB,IND,1,"Drafted (Round 1)","The Trophy Wives",NO
"Josh Allen",QB,BUF,2,"Drafted (Round 2)","The Trophy Wives",NO
"Lamar Jackson",QB,BAL,2,"Drafted (Round 2)","Olivators",NO
"Drake London",WR,ATL,2,"Drafted (Round 2)","Dolphin Boobiez",NO
"Josh Jacobs",RB,GB,2,"Drafted (Round 2)","Unicorn Love",NO
"Ladd McConkey",WR,LAC,2,"Drafted (Round 2)","My Balls Are Afoot",NO
"George Kittle",TE,SF,2,"Drafted (Round 2)","Jesus take the wheel",NO
"James Cook III",RB,BUF,2,"Drafted (Round 2)","CopperTheBigRedDog",NO
"De'Von Achane",RB,MIA,2,"Drafted (Round 2)","Fat Lazy Americans",NO
"A.J. Brown",WR,NE,2,"Drafted (Round 2)","Kryponite",NO
"Omarion Hampton",RB,LAC,2,"Drafted (Round 2)","The Curious Case of Cookus",NO
"Jaxon Smith-Njigba",WR,SEA,2,"Drafted (Round 2)","Comfy In Chair",NO
"Mike Evans",WR,SF,2,"Drafted (Round 2)","JRZ",NO
"Chuba Hubbard",RB,CAR,3,"Drafted (Round 3)","JRZ",NO
"James Conner",RB,ARI,3,"Drafted (Round 3)","Comfy In Chair",NO
"Terry McLaurin",WR,WAS,3,"Drafted (Round 3)","The Curious Case of Cookus",NO
"Jalen Hurts",QB,PHI,3,"Drafted (Round 3)","Kryponite",NO
"Davante Adams",WR,LAR,3,"Drafted (Round 3)","Fat Lazy Americans",NO
"Alvin Kamara",RB,NO,3,"Drafted (Round 3)","CopperTheBigRedDog",NO
"Jaylen Waddle",WR,DEN,3,"Drafted (Round 3)","Jesus take the wheel",NO
"Marvin Harrison Jr.",WR,ARI,3,"Drafted (Round 3)","My Balls Are Afoot",NO
"DJ Moore",WR,BUF,3,"Drafted (Round 3)","Unicorn Love",NO
"TreVeyon Henderson",RB,NE,3,"Drafted (Round 3)","Dolphin Boobiez",NO
"Kenneth Walker III",RB,KC,3,"Drafted (Round 3)","Olivators",NO
