league_id,team_id,team_name,player_name,nfl_team,position
rose_bowl,1,"Fat Lazy Americans","Brock Purdy",SF,QB
rose_bowl,1,"Fat Lazy Americans","Justin Jefferson",MIN,WR
rose_bowl,1,"Fat Lazy Americans","Jaxon Smith-Njigba",SEA,WR
rose_bowl,1,"Fat Lazy Americans","De'Von Achane",MIA,RB
rose_bowl,1,"Fat Lazy Americans","Tyrone Tracy Jr.",NYG,RB
rose_bowl,1,"Fat Lazy Americans","Tyler Warren",IND,TE
rose_bowl,1,"Fat Lazy Americans","Woody Marks",HOU,RB
rose_bowl,1,"Fat Lazy Americans","Davante Adams",LAR,WR
rose_bowl,1,"Fat Lazy Americans","Sam Darnold",SEA,QB
rose_bowl,1,"Fat Lazy Americans","Oronde Gadsden",LAC,TE
rose_bowl,1,"Fat Lazy Americans","Kyle Monangai",CHI,RB
rose_bowl,1,"Fat Lazy Americans","Jayden Reed",GB,WR
rose_bowl,1,"Fat Lazy Americans","Evan McPherson",CIN,K
rose_bowl,1,"Fat Lazy Americans","Roquan Smith",BAL,LB
rose_bowl,1,"Fat Lazy Americans","Germaine Pratt",IND,LB
rose_bowl,1,"Fat Lazy Americans","Zaire Franklin",GB,LB
rose_bowl,1,"Fat Lazy Americans","Quincy Williams",CLE,LB
rose_bowl,2,"Any Given Sun God","Drake Maye",NE,QB
rose_bowl,2,"Any Given Sun God","Amon-Ra St. Brown",DET,WR
rose_bowl,2,"Any Given Sun God","George Pickens",DAL,WR
rose_bowl,2,"Any Given Sun God","Josh Jacobs",GB,RB
rose_bowl,2,"Any Given Sun God","RJ Harvey",DEN,RB
rose_bowl,2,"Any Given Sun God","Trey McBride",ARI,TE
rose_bowl,2,"Any Given Sun God","Tre Tucker",LV,WR
rose_bowl,2,"Any Given Sun God","C.J. Stroud",HOU,QB
rose_bowl,2,"Any Given Sun God","Marvin Mims Jr.",DEN,WR
rose_bowl,2,"Any Given Sun God","Jake Ferguson",DAL,TE
rose_bowl,2,"Any Given Sun God","Dylan Sampson",CLE,RB
rose_bowl,2,"Any Given Sun God","Andy Borregales",NE,K
rose_bowl,2,"Any Given Sun God","Harrison Mevis",LAR,K
rose_bowl,2,"Any Given Sun God","Patrick Queen",PIT,LB
rose_bowl,2,"Any Given Sun God","Kyle Hamilton",BAL,S
rose_bowl,2,"Any Given Sun God","Julian Love",SEA,S
rose_bowl,2,"Any Given Sun God","Budda Baker",ARI,S
rose_bowl,2,"Any Given Sun God","Garrett Wilson",NYJ,WR
rose_bowl,3,"CallinginSickMonday","Dak Prescott",DAL,QB
rose_bowl,3,"CallinginSickMonday","Chris Godwin Jr.",TB,WR
rose_bowl,3,"CallinginSickMonday","Michael Pittman Jr.",PIT,WR
rose_bowl,3,"CallinginSickMonday","Jonathan Taylor",IND,RB
rose_bowl,3,"CallinginSickMonday","Omarion Hampton",LAC,RB
rose_bowl,3,"CallinginSickMonday","Kyle Pitts Sr.",ATL,TE
rose_bowl,3,"CallinginSickMonday","Travis Etienne Jr.",NO,RB
rose_bowl,3,"CallinginSickMonday","TreVeyon Henderson",NE,RB
rose_bowl,3,"CallinginSickMonday","Parker Washington",JAX,WR
rose_bowl,3,"CallinginSickMonday","Ricky Pearsall",SF,WR
rose_bowl,3,"CallinginSickMonday","Juwan Johnson",NO,TE
rose_bowl,3,"CallinginSickMonday","Eddy Pineiro",SF,K
rose_bowl,3,"CallinginSickMonday","Ernest Jones IV",SEA,LB
rose_bowl,3,"CallinginSickMonday","Blake Cashman",MIN,LB
rose_bowl,3,"CallinginSickMonday","Foyesade Oluokun",JAX,LB
rose_bowl,3,"CallinginSickMonday","Tyrel Dodson",MIA,LB
rose_bowl,3,"CallinginSickMonday","Cedric Gray",TEN,LB
rose_bowl,3,"CallinginSickMonday","Rashee Rice",KC,WR
rose_bowl,4,"Chubbtown Brownies","Jared Goff",DET,QB
rose_bowl,4,"Chubbtown Brownies","Chris Olave",NO,WR
rose_bowl,4,"Chubbtown Brownies","Ja'Marr Chase",CIN,WR
rose_bowl,4,"Chubbtown Brownies","Aaron Jones Sr.",MIN,RB
rose_bowl,4,"Chubbtown Brownies","Kenny Gainwell",TB,RB
rose_bowl,4,"Chubbtown Brownies","Colby Parkinson",LAR,TE
rose_bowl,4,"Chubbtown Brownies","Rhamondre Stevenson",NE,RB
rose_bowl,4,"Chubbtown Brownies","George Kittle",SF,TE
rose_bowl,4,"Chubbtown Brownies","Mike Evans",SF,WR
rose_bowl,4,"Chubbtown Brownies","Rico Dowdle",PIT,RB
rose_bowl,4,"Chubbtown Brownies","Romeo Doubs",NE,WR
rose_bowl,4,"Chubbtown Brownies","Cooper Kupp",SEA,WR
rose_bowl,4,"Chubbtown Brownies","Chuba Hubbard",CAR,RB
rose_bowl,4,"Chubbtown Brownies","Harrison Butker",KC,K
rose_bowl,4,"Chubbtown Brownies","Jordyn Brooks",MIA,LB
rose_bowl,4,"Chubbtown Brownies","Myles Garrett",LAR,DE
rose_bowl,4,"Chubbtown Brownies","Marcus Jones",NE,DB,CB
rose_bowl,4,"Chubbtown Brownies","Zach Ertz",WAS,TE
rose_bowl,5,"Concussion Protocol","Lamar Jackson",BAL,QB
rose_bowl,5,"Concussion Protocol","Jameson Williams",DET,WR
rose_bowl,5,"Concussion Protocol","DJ Moore",BUF,WR
rose_bowl,5,"Concussion Protocol","Jaylen Warren",PIT,RB
rose_bowl,5,"Concussion Protocol","Derrick Henry",BAL,RB
rose_bowl,5,"Concussion Protocol","Brock Bowers",LV,TE
rose_bowl,5,"Concussion Protocol","Stefon Diggs",WAS,WR
rose_bowl,5,"Concussion Protocol","Bam Knight",ARI,RB
rose_bowl,5,"Concussion Protocol","Alvin Kamara",NO,RB
rose_bowl,5,"Concussion Protocol","Kayshon Boutte",HOU,WR
rose_bowl,5,"Concussion Protocol","Justin Herbert",LAC,QB
rose_bowl,5,"Concussion Protocol","Dalton Kincaid",BUF,TE
rose_bowl,5,"Concussion Protocol","Jason Myers",SEA,K
rose_bowl,5,"Concussion Protocol","Andrew Van Ginkel",MIN,LB,DE
rose_bowl,5,"Concussion Protocol","Barrett Carter",CIN,LB
rose_bowl,5,"Concussion Protocol","Bobby Okereke",NYG,LB
rose_bowl,5,"Concussion Protocol","Maxx Crosby",LV,DE
rose_bowl,6,"Sir Nix A Lot","Bo Nix",DEN,QB
rose_bowl,6,"Sir Nix A Lot","Ladd McConkey",LAC,WR
rose_bowl,6,"Sir Nix A Lot","Jauan Jennings",MIN,WR
rose_bowl,6,"Sir Nix A Lot","Jahmyr Gibbs",DET,RB
rose_bowl,6,"Sir Nix A Lot","Isiah Pacheco",DET,RB
rose_bowl,6,"Sir Nix A Lot","Evan Engram",DEN,TE
rose_bowl,6,"Sir Nix A Lot","Khalil Shakir",BUF,WR
rose_bowl,6,"Sir Nix A Lot","Rachaad White",WAS,RB
rose_bowl,6,"Sir Nix A Lot","Rome Odunze",CHI,WR
rose_bowl,6,"Sir Nix A Lot","Mason Taylor",NYJ,TE
rose_bowl,6,"Sir Nix A Lot","Christian Kirk",SF,WR
rose_bowl,6,"Sir Nix A Lot","Marvin Harrison Jr.",ARI,WR
rose_bowl,6,"Sir Nix A Lot","Trevor Lawrence",JAX,QB
rose_bowl,6,"Sir Nix A Lot","Jake Bates",DET,K
rose_bowl,6,"Sir Nix A Lot","Nik Bonitto",DEN,LB,DE
rose_bowl,6,"Sir Nix A Lot","SirVocea Dennis",TB,LB
rose_bowl,6,"Sir Nix A Lot","Paulson Adebo",NYG,CB
rose_bowl,6,"Sir Nix A Lot","Sam LaPorta",DET,TE
rose_bowl,7,"Jukin Junies","Matthew Stafford",LAR,QB
rose_bowl,7,"Jukin Junies","Puka Nacua",LAR,WR
rose_bowl,7,"Jukin Junies","Tetairoa McMillan",CAR,WR
rose_bowl,7,"Jukin Junies","Ashton Jeanty",LV,RB
rose_bowl,7,"Jukin Junies","Quinshon Judkins",CLE,RB
rose_bowl,7,"Jukin Junies","Theo Johnson",NYG,TE
rose_bowl,7,"Jukin Junies","Jayden Higgins",HOU,WR
rose_bowl,7,"Jukin Junies","Tee Higgins",CIN,WR
rose_bowl,7,"Jukin Junies","T.J. Hockenson",MIN,TE
rose_bowl,7,"Jukin Junies","Jerry Jeudy",CLE,WR
rose_bowl,7,"Jukin Junies","Tony Pollard",TEN,RB
rose_bowl,7,"Jukin Junies","Joe Burrow",CIN,QB
rose_bowl,7,"Jukin Junies","Tyler Loop",BAL,K
rose_bowl,7,"Jukin Junies","Zack Baun",PHI,LB
rose_bowl,7,"Jukin Junies","Jordan Battle",CIN,S
rose_bowl,7,"Jukin Junies","Quay Walker",LV,LB
rose_bowl,7,"Jukin Junies","Daniel Jones",IND,QB
rose_bowl,8,"L.V. Rosekillers","Josh Allen",BUF,QB
rose_bowl,8,"L.V. Rosekillers","Drake London",ATL,WR
rose_bowl,8,"L.V. Rosekillers","Wan'Dale Robinson",TEN,WR
rose_bowl,8,"L.V. Rosekillers","Saquon Barkley",PHI,RB
rose_bowl,8,"L.V. Rosekillers","Javonte Williams",DAL,RB
rose_bowl,8,"L.V. Rosekillers","Harold Fannin Jr.",CLE,TE
rose_bowl,8,"L.V. Rosekillers","Michael Wilson",ARI,WR
rose_bowl,8,"L.V. Rosekillers","DeVonta Smith",PHI,WR
rose_bowl,8,"L.V. Rosekillers","Dalton Schultz",HOU,TE
rose_bowl,8,"L.V. Rosekillers","Breece Hall",NYJ,RB
rose_bowl,8,"L.V. Rosekillers","Quentin Johnston",LAC,WR
rose_bowl,8,"L.V. Rosekillers","Christian Watson",GB,WR
rose_bowl,8,"L.V. Rosekillers","Cameron Dicker",LAC,K
rose_bowl,8,"L.V. Rosekillers","Edgerrin Cooper",GB,LB
rose_bowl,8,"L.V. Rosekillers","Bobby Wagner",WAS,LB
rose_bowl,8,"L.V. Rosekillers","Devin White",DET,LB
rose_bowl,8,"L.V. Rosekillers","Tykee Smith",TB,DB,S
rose_bowl,9,"OUTLAWS","Jordan Love",GB,QB
rose_bowl,9,"OUTLAWS","A.J. Brown",NE,WR
rose_bowl,9,"OUTLAWS","Hollywood Brown",PHI,WR
rose_bowl,9,"OUTLAWS","Bijan Robinson",ATL,RB
rose_bowl,9,"OUTLAWS","Kyren Williams",LAR,RB
rose_bowl,9,"OUTLAWS","Dallas Goedert",PHI,TE
rose_bowl,9,"OUTLAWS","Cedric Tillman",CLE,WR
rose_bowl,9,"OUTLAWS","DK Metcalf",PIT,WR
rose_bowl,9,"OUTLAWS","Travis Kelce",KC,TE
rose_bowl,9,"OUTLAWS","Baker Mayfield",TB,QB
rose_bowl,9,"OUTLAWS","Justice Hill",BAL,RB
rose_bowl,9,"OUTLAWS","Chris Boswell",PIT,K
rose_bowl,9,"OUTLAWS","Jack Campbell",DET,LB
rose_bowl,9,"OUTLAWS","Nick Bolton",KC,LB
rose_bowl,9,"OUTLAWS","Nick Cross",WAS,S
rose_bowl,9,"OUTLAWS","Dee Winters",DAL,LB
rose_bowl,9,"OUTLAWS","Carl Granderson",NO,LB,DE
rose_bowl,10,"Panda XL","Jalen Hurts",PHI,QB
rose_bowl,10,"Panda XL","Nico Collins",HOU,WR
rose_bowl,10,"Panda XL","Jakobi Meyers",JAX,WR
rose_bowl,10,"Panda XL","Bucky Irving",TB,RB
rose_bowl,10,"Panda XL","D'Andre Swift",CHI,RB
rose_bowl,10,"Panda XL","AJ Barner",SEA,TE
rose_bowl,10,"Panda XL","Kenneth Walker III",KC,RB
rose_bowl,10,"Panda XL","Keenan Allen",IND,WR
rose_bowl,10,"Panda XL","Jaylen Waddle",DEN,WR
rose_bowl,10,"Panda XL","Kareem Hunt",KC,RB
rose_bowl,10,"Panda XL","Jordan Addison",MIN,WR
rose_bowl,10,"Panda XL","Keon Coleman",BUF,WR
rose_bowl,10,"Panda XL","Brandon Aubrey",DAL,K
rose_bowl,10,"Panda XL","Matt Prater",BUF,K
rose_bowl,10,"Panda XL","Eric Wilson",MIN,LB
rose_bowl,10,"Panda XL","Lavonte David",TB,LB
rose_bowl,10,"Panda XL","Alex Anzalone",TB,LB
rose_bowl,11,"Waiting for Basketball","Caleb Williams",CHI,QB
rose_bowl,11,"Waiting for Basketball","Deebo Samuel Sr.",SF,WR
rose_bowl,11,"Waiting for Basketball","Brian Thomas Jr.",JAX,WR
rose_bowl,11,"Waiting for Basketball","Christian McCaffrey",SF,RB
rose_bowl,11,"Waiting for Basketball","James Cook III",BUF,RB
rose_bowl,11,"Waiting for Basketball","Mark Andrews",BAL,TE
rose_bowl,11,"Waiting for Basketball","Courtland Sutton",DEN,WR
rose_bowl,11,"Waiting for Basketball","Trey Benson",ARI,RB
rose_bowl,11,"Waiting for Basketball","Blake Corum",LAR,RB
rose_bowl,11,"Waiting for Basketball","Tyler Allgeier",ARI,RB
rose_bowl,11,"Waiting for Basketball","Rashid Shaheed",SEA,WR
rose_bowl,11,"Waiting for Basketball","Patrick Mahomes",KC,QB
rose_bowl,11,"Waiting for Basketball","Zay Flowers",BAL,WR
rose_bowl,11,"Waiting for Basketball","Joey Slye",TEN,K
rose_bowl,11,"Waiting for Basketball","Talanoa Hufanga",DEN,S
rose_bowl,11,"Waiting for Basketball","Nate Landman",LAR,LB
rose_bowl,11,"Waiting for Basketball","Daiyan Henley",LAC,LB
rose_bowl,12,"Bear Force One","Jacoby Brissett",ARI,QB
rose_bowl,12,"Bear Force One","CeeDee Lamb",DAL,WR
rose_bowl,12,"Bear Force One","Alec Pierce",PUP,P
rose_bowl,12,"Bear Force One","Chase Brown",CIN,RB
rose_bowl,12,"Bear Force One","David Montgomery",HOU,RB
rose_bowl,12,"Bear Force One","Michael Mayer",LV,TE
rose_bowl,12,"Bear Force One","Zach Charbonnet",PUP,P
rose_bowl,12,"Bear Force One","Jaxson Dart",NYG,QB
rose_bowl,12,"Bear Force One","Devin Neal",NO,RB
rose_bowl,12,"Bear Force One","Terry McLaurin",WAS,WR
rose_bowl,12,"Bear Force One","Emeka Egbuka",TB,WR
rose_bowl,12,"Bear Force One","Xavier Worthy",KC,WR
rose_bowl,12,"Bear Force One","Chris Rodriguez Jr.",JAX,RB
rose_bowl,12,"Bear Force One","Ka'imi Fairbairn",HOU,K
rose_bowl,12,"Bear Force One","Jessie Bates III",ATL,S
rose_bowl,12,"Bear Force One","Carson Schwesinger",CLE,LB
rose_bowl,12,"Bear Force One","Alex Singleton",DEN,LB
