Player,Position,Team,KeeperRound,AcquisitionType,DraftTeam,IsPriorKeeper
"Brandin Cooks",WR,DAL,8,"Drafted (Round 8)","Unicorn Love",NO
"Rashaad Penny",RB,PHI,8,"Drafted (Round 8)","McGibblets",NO
"Jerry Jeudy",WR,DEN,9,"Drafted (Round 9)","McGibblets",NO
"Sam LaPorta",TE,DET,9,"Drafted (Round 9)","Unicorn Love",NO
"Gerald Everett",TE,LAC,9,"Drafted (Round 9)","Jesus take the wheel",NO
"Brock Purdy",QB,SF,9,"Drafted (Round 9)","Kryponite",NO
"Brian Robinson",RB,WAS,9,"Drafted (Round 9)","Kelce You in...",NO
"Antonio Gibson",RB,WAS,9,"Drafted (Round 9)","My Balls Are Afoot",NO
"Roquan Smith",LB,BAL,9,"Drafted (Round 9)","The Trophy Wives",NO
"Rachaad White",RB,TB,9,"Drafted (Round 9)","BeaverFever",NO
"Jamaal Williams",RB,NO,9,"Drafted (Round 9)","The Curious Case of Cookus",NO
"Nick Bolton",LB,KC,9,"Drafted (Round 9)","Dolphin Boobiez",NO
"Kenneth Walker III",RB,SEA,9,"Drafted (Round 9)","Fat Lazy Americans",NO
"Zach Charbonnet",RB,SEA,9,"Drafted (Round 9)","Olivators",NO
"Bobby Wagner",LB,SEA,10,"Drafted (Round 10)","Olivators",NO
"Chris Olave",WR,NO,10,"Drafted (Round 10)","Fat Lazy Americans",NO
"Raheem Mostert",RB,MIA,10,"Drafted (Round 10)","Dolphin Boobiez",NO
"Rashod Bateman",WR,BAL,10,"Drafted (Round 10)","The Curious Case of Cookus",NO
"Isiah Pacheco",RB,KC,10,"Drafted (Round 10)","BeaverFever",NO
"Jaxon Smith-Njigba",WR,SEA,10,"Drafted (Round 10)","The Trophy Wives",NO
"Zaire Franklin",LB,IND,10,"Drafted (Round 10)","My Balls Are Afoot",NO
"Dak Prescott",QB,DAL,10,"Drafted (Round 10)","Kelce You in...",NO
"Courtland Sutton",WR,DEN,10,"Drafted (Round 10)","Kryponite",NO
"Aaron Rodgers",QB,NYJ,10,"Drafted (Round 10)","Jesus take the wheel",NO
"Damien Harris",RB,BUF,10,"Drafted (Round 10)","Unicorn Love",NO
"Jaylen Warren",RB,PIT,10,"Drafted (Round 10)","McGibblets",NO
"Treylon Burks",WR,TEN,11,"Drafted (Round 11)","McGibblets",NO
"Jared Goff",QB,DET,11,"Drafted (Round 11)","Unicorn Love",NO
"Cole Kmet",TE,CHI,11,"Drafted (Round 11)","Jesus take the wheel",NO
"JuJu Smith-Schuster",WR,NE,11,"Drafted (Round 11)","Kryponite",NO
"De'Von Achane",RB,MIA,11,"Drafted (Round 11)","Kelce You in...",NO
"Logan Wilson",LB,CIN,11,"Drafted (Round 11)","My Balls Are Afoot",NO
"Devin White",LB,TB,11,"Drafted (Round 11)","The Trophy Wives",NO
"Fred Warner",LB,SF,11,"Drafted (Round 11)","BeaverFever",NO
"Tyler Allgeier",RB,ATL,11,"Drafted (Round 11)","The Curious Case of Cookus",NO
"Dalton Kincaid",TE,BUF,11,"Drafted (Round 11)","Dolphin Boobiez",NO
"Zay Flowers",WR,BAL,11,"Drafted (Round 11)","Fat Lazy Americans",NO
"Derwin James Jr.",DB,S,LAC,11,"Drafted (Round 11)","Olivators",NO
"Samaje Perine",RB,DEN,12,"Drafted (Round 12)","Olivators",NO
"Michael Thomas",WR,NO,12,"Drafted (Round 12)","Fat Lazy Americans",NO
"Trevor Lawrence",QB,JAX,12,"Drafted (Round 12)","Dolphin Boobiez",NO
"Bobby Okereke",LB,IND,12,"Drafted (Round 12)","The Curious Case of Cookus",NO
"Josey Jewell",LB,DEN,12,"Drafted (Round 12)","BeaverFever",NO
"Tank Bigsby",RB,JAX,12,"Drafted (Round 12)","The Trophy Wives",NO
"Rashee Rice",WR,KC,12,"Drafted (Round 12)","My Balls Are Afoot",NO
"Frankie Luvu",LB,CAR,12,"Drafted (Round 12)","Kelce You in...",NO
"Jakobi Meyers",WR,LV,12,"Drafted (Round 12)","Kryponite",NO
"Patrick Queen",LB,BAL,12,"Drafted (Round 12)","Jesus take the wheel",NO
"T.J. Edwards",LB,CHI,12,"Drafted (Round 12)","Unicorn Love",NO
"Daniel Carlson",K,LV,12,"Drafted (Round 12)","McGibblets",NO
"Clyde Edwards-Helaire",RB,KC,13,"Drafted (Round 13)","McGibblets",NO
"Quentin Johnston",WR,LAC,13,"Drafted (Round 13)","Unicorn Love",NO
"Kenny Gainwell",RB,PHI,13,"Drafted (Round 13)","Jesus take the wheel",NO
"Ezekiel Elliott",RB,NE,13,"Drafted (Round 13)","Kryponite",NO
"Kadarius Toney",WR,KC,13,"Drafted (Round 13)","Kelce You in...",NO
"Tyler Bass",K,BUF,13,"Drafted (Round 13)","My Balls Are Afoot",NO
"Skyy Moore",WR,KC,13,"Drafted (Round 13)","The Trophy Wives",NO
"Pete Werner",LB,NO,13,"Drafted (Round 13)","BeaverFever",NO
"De'Vondre Campbell Sr.",LB,GB,13,"Drafted (Round 13)","The Curious Case of Cookus",NO
"Chig Okonkwo",TE,TEN,13,"Drafted (Round 13)","Dolphin Boobiez",NO
"Elijah Mitchell",RB,SF,13,"Drafted (Round 13)","Fat Lazy Americans",NO
"Nico Collins",WR,HOU,13,"Drafted (Round 13)","Olivators",NO
"Roschon Johnson",RB,CHI,14,"Drafted (Round 14)","Olivators",NO
"Dre Greenlaw",LB,SF,14,"Drafted (Round 14)","Fat Lazy Americans",NO
"Odell Beckham Jr.",WR,BAL,14,"Drafted (Round 14)","Dolphin Boobiez",NO
"Geno Smith",QB,SEA,14,"Drafted (Round 14)","The Curious Case of Cookus",NO
"Tyler Higbee",TE,LAR,14,"Drafted (Round 14)","BeaverFever",NO
"Harrison Butker",K,KC,14,"Drafted (Round 14)","The Trophy Wives",NO
"Marcus Jones",DB,CB,NE,14,"Drafted (Round 14)","My Balls Are Afoot",NO
"Jalen Pitre",DB,S,HOU,14,"Drafted (Round 14)","Kelce You in...",NO
"Minkah Fitzpatrick",DB,S,PIT,14,"Drafted (Round 14)","Kryponite",NO
"Nick Bosa",DL,DE,SF,14,"Drafted (Round 14)","Jesus take the wheel",NO
"Shaquille Leonard",LB,IND,14,"Drafted (Round 14)","Unicorn Love",NO
"Tremon Smith",DB,CB,DEN,14,"Drafted (Round 14)","McGibblets",NO
"Dalton Schultz",TE,HOU,15,"Drafted (Round 15)","McGibblets",NO
"Devin Singletary",RB,HOU,15,"Drafted (Round 15)","Unicorn Love",NO
"Evan McPherson",K,CIN,15,"Drafted (Round 15)","Jesus take the wheel",NO
"Darnell Mooney",WR,CHI,15,"Drafted (Round 15)","Kryponite",NO
"Jake Elliott",K,PHI,15,"Drafted (Round 15)","Kelce You in...",NO
"Jake Ferguson",TE,DAL,15,"Drafted (Round 15)","My Balls Are Afoot",NO
"Cole Holcomb",LB,PIT,15,"Drafted (Round 15)","The Trophy Wives",NO
"Kendre Miller",RB,NO,15,"Drafted (Round 15)","BeaverFever",NO
"Micah Parsons",LB,DAL,15,"Drafted (Round 15)","The Curious Case of Cookus",NO
"L'Jarius Sneed",DB,CB,KC,15,"Drafted (Round 15)","Dolphin Boobiez",NO
"Ernest Jones IV",LB,LAR,15,"Drafted (Round 15)","Fat Lazy Americans",NO
"Allen Lazard",WR,NYJ,15,"Drafted (Round 15)","Olivators",NO
"Tremaine Edmunds",LB,CHI,16,"Drafted (Round 16)","Olivators",NO
"Romeo Doubs",WR,GB,16,"Drafted (Round 16)","Fat Lazy Americans",NO
"Jordan Hicks",LB,MIN,16,"Drafted (Round 16)","Dolphin Boobiez",NO
"Azeez Al-Shaair",LB,TEN,16,"Drafted (Round 16)","The Curious Case of Cookus",NO
"Russell Wilson",QB,DEN,16,"Drafted (Round 16)","BeaverFever",NO
"Jordan Love",QB,GB,16,"Drafted (Round 16)","The Trophy Wives",NO
"Kenny Pickett",QB,PIT,16,"Drafted (Round 16)","My Balls Are Afoot",NO
"Jayden Reed",WR,GB,16,"Drafted (Round 16)","Kelce You in...",NO
"Younghoe Koo",K,ATL,16,"Drafted (Round 16)","Kryponite",NO
