Player,Position,Team,KeeperRound,AcquisitionType,DraftTeam,IsPriorKeeper
"Alex Singleton",LB,DEN,8,"Drafted (Round 8)","Unicorn Love",NO
"Rome Odunze",WR,CHI,8,"Drafted (Round 8)","McGibblets",NO
"Raheem Mostert",RB,MIA,8,"Drafted (Round 8)","Dolphin Boobiez",NO
"Justin Tucker",K,BAL,8,"Drafted (Round 8)","Kryponite",NO
"Chase Brown",RB,CIN,8,"Drafted (Round 8)","The Curious Case of Cookus",NO
"Ladd McConkey",WR,LAC,8,"Drafted (Round 8)","Olivators",NO
"Brandon Aubrey",K,DAL,8,"Drafted (Round 8)","My Balls Are Afoot",NO
"Jordan Addison",WR,MIN,9,"Drafted (Round 9)","My Balls Are Afoot",NO
"Zaire Franklin",LB,IND,9,"Drafted (Round 9)","Olivators",NO
"Dallas Goedert",TE,PHI,9,"Drafted (Round 9)","The Curious Case of Cookus",NO
"Jeffery Simmons",DL,DT,TEN,9,"Drafted (Round 9)","Kryponite",NO
"Tyjae Spears",RB,TEN,9,"Drafted (Round 9)","Dolphin Boobiez",NO
"Nick Chubb",RB,CLE,9,"Drafted (Round 9)","McGibblets",NO
"Courtland Sutton",WR,DEN,9,"Drafted (Round 9)","Unicorn Love",NO
"Curtis Samuel",WR,BUF,9,"Drafted (Round 9)","JRZ",NO
"Tank Dell",WR,HOU,9,"Drafted (Round 9)","The Trophy Wives",NO
"Jonathon Brooks",RB,CAR,9,"Drafted (Round 9)","Fat Lazy Americans",NO
"Joshua Palmer",WR,LAC,9,"Drafted (Round 9)","Jesus take the wheel",NO
"Fred Warner",LB,SF,9,"Drafted (Round 9)","CopperTheBigRedDog",NO
"Puka Nacua",WR,LAR,10,"Drafted (Round 10)","CopperTheBigRedDog",NO
"Rashee Rice",WR,KC,10,"Drafted (Round 10)","Jesus take the wheel",NO
"C.J. Stroud",QB,HOU,10,"Drafted (Round 10)","Fat Lazy Americans",NO
"Trey McBride",TE,ARI,10,"Drafted (Round 10)","The Trophy Wives",NO
"Caleb Williams",QB,CHI,10,"Drafted (Round 10)","JRZ",NO
"Jaxon Smith-Njigba",WR,SEA,10,"Drafted (Round 10)","Unicorn Love",NO
"Bobby Okereke",LB,NYG,10,"Drafted (Round 10)","McGibblets",NO
"Brian Thomas Jr.",WR,JAX,10,"Drafted (Round 10)","Dolphin Boobiez",NO
"Marcus Jones",DB,CB,NE,10,"Drafted (Round 10)","Kryponite",NO
"Jerome Ford",RB,CLE,10,"Drafted (Round 10)","The Curious Case of Cookus",NO
"Kyren Williams",RB,LAR,10,"Drafted (Round 10)","Olivators",NO
"Ezekiel Elliott",RB,DAL,10,"Drafted (Round 10)","My Balls Are Afoot",NO
"T.J. Edwards",LB,CHI,11,"Drafted (Round 11)","My Balls Are Afoot",NO
"Nico Collins",WR,HOU,11,"Drafted (Round 11)","Olivators",NO
"Jameson Williams",WR,DET,11,"Drafted (Round 11)","The Curious Case of Cookus",NO
"Khalil Dorsey",DB,CB,DET,11,"Drafted (Round 11)","Kryponite",NO
"Harrison Butker",K,KC,11,"Drafted (Round 11)","Dolphin Boobiez",NO
"Tyrel Dodson",LB,SEA,11,"Drafted (Round 11)","McGibblets",NO
"Blake Corum",RB,LAR,11,"Drafted (Round 11)","Unicorn Love",NO
"C.J. Mosley",LB,NYJ,11,"Drafted (Round 11)","JRZ",NO
"Nick Bolton",LB,KC,11,"Drafted (Round 11)","The Trophy Wives",NO
"Hollywood Brown",WR,KC,11,"Drafted (Round 11)","Fat Lazy Americans",NO
"Keon Coleman",WR,BUF,11,"Drafted (Round 11)","Jesus take the wheel",NO
"Ernest Jones IV",LB,LAR,11,"Drafted (Round 11)","CopperTheBigRedDog",NO
"Azeez Al-Shaair",LB,HOU,12,"Drafted (Round 12)","CopperTheBigRedDog",NO
"Malcolm Rodriguez",LB,DET,12,"Drafted (Round 12)","Jesus take the wheel",NO
"Terrel Bernard",LB,BUF,12,"Drafted (Round 12)","Fat Lazy Americans",NO
"Rico Dowdle",RB,DAL,12,"Drafted (Round 12)","The Trophy Wives",NO
"Trey Benson",RB,ARI,12,"Drafted (Round 12)","JRZ",NO
"Patrick Queen",LB,PIT,12,"Drafted (Round 12)","Unicorn Love",NO
"Jaleel McLaughlin",RB,DEN,12,"Drafted (Round 12)","McGibblets",NO
"Ivan Pace Jr.",LB,MIN,12,"Drafted (Round 12)","Dolphin Boobiez",NO
"Austin Ekeler",RB,WAS,12,"Drafted (Round 12)","Kryponite",NO
"Quincy Williams",LB,NYJ,12,"Drafted (Round 12)","The Curious Case of Cookus",NO
"Bobby Wagner",LB,WAS,12,"Drafted (Round 12)","Olivators",NO
"DeAndre Hopkins",WR,TEN,12,"Drafted (Round 12)","My Balls Are Afoot",NO
"Chuba Hubbard",RB,CAR,13,"Drafted (Round 13)","My Balls Are Afoot",NO
"J.K. Dobbins",RB,LAC,13,"Drafted (Round 13)","Olivators",NO
"Tua Tagovailoa",QB,MIA,13,"Drafted (Round 13)","The Curious Case of Cookus",NO
"Rashid Shaheed",WR,NO,13,"Drafted (Round 13)","Kryponite",NO
"Tyler Lockett",WR,SEA,13,"Drafted (Round 13)","Dolphin Boobiez",NO
"Jerry Jeudy",WR,CLE,13,"Drafted (Round 13)","McGibblets",NO
"Baker Mayfield",QB,TB,13,"Drafted (Round 13)","Unicorn Love",NO
"Khalil Shakir",WR,BUF,13,"Drafted (Round 13)","JRZ",NO
"Trevor Lawrence",QB,JAX,13,"Drafted (Round 13)","The Trophy Wives",NO
"Zach Charbonnet",RB,SEA,13,"Drafted (Round 13)","Fat Lazy Americans",NO
"Drue Tranquill",LB,KC,13,"Drafted (Round 13)","Jesus take the wheel",NO
"Dalton Schultz",TE,HOU,13,"Drafted (Round 13)","CopperTheBigRedDog",NO
"Jakobi Meyers",WR,LV,14,"Drafted (Round 14)","CopperTheBigRedDog",NO
"Lavonte David",LB,TB,14,"Drafted (Round 14)","Jesus take the wheel",NO
"Brock Bowers",TE,LV,14,"Drafted (Round 14)","Fat Lazy Americans",NO
"Quay Walker",LB,GB,14,"Drafted (Round 14)","The Trophy Wives",NO
"Devin Lloyd",LB,JAX,14,"Drafted (Round 14)","JRZ",NO
"Cameron Dicker",K,LAC,14,"Drafted (Round 14)","Unicorn Love",NO
"Frankie Luvu",LB,WAS,14,"Drafted (Round 14)","McGibblets",NO
"T.J. Hockenson",TE,MIN,14,"Drafted (Round 14)","Dolphin Boobiez",NO
"Kirk Cousins",QB,ATL,14,"Drafted (Round 14)","Kryponite",NO
"Jessie Bates III",DB,S,ATL,14,"Drafted (Round 14)","The Curious Case of Cookus",NO
"Tyler Allgeier",RB,ATL,14,"Drafted (Round 14)","Olivators",NO
"Pat Freiermuth",TE,PIT,14,"Drafted (Round 14)","My Balls Are Afoot",NO
"Matthew Stafford",QB,LAR,15,"Drafted (Round 15)","My Balls Are Afoot",NO
"Romeo Doubs",WR,GB,15,"Drafted (Round 15)","Olivators",NO
"Taysom Hill",TE,NO,15,"Drafted (Round 15)","The Curious Case of Cookus",NO
"Luke Musgrave",TE,GB,15,"Drafted (Round 15)","Kryponite",NO
"Justin Herbert",QB,LAC,15,"Drafted (Round 15)","Dolphin Boobiez",NO
"Brandin Cooks",WR,DAL,15,"Drafted (Round 15)","McGibblets",NO
"DeMario Douglas",WR,NE,15,"Drafted (Round 15)","Unicorn Love",NO
"Jaylen Wright",RB,MIA,15,"Drafted (Round 15)","JRZ",NO
"Jason Sanders",K,MIA,15,"Drafted (Round 15)","The Trophy Wives",NO
"Logan Wilson",LB,CIN,15,"Drafted (Round 15)","Fat Lazy Americans",NO
"Alex Anzalone",LB,DET,15,"Drafted (Round 15)","Jesus take the wheel",NO
"Jake Moody",K,SF,15,"Drafted (Round 15)","CopperTheBigRedDog",NO
"Kyzir White",LB,ARI,16,"Drafted (Round 16)","CopperTheBigRedDog",NO
"Justice Hill",RB,BAL,16,"Drafted (Round 16)","Jesus take the wheel",NO
"Dontayvion Wicks",WR,GB,16,"Drafted (Round 16)","Fat Lazy Americans",NO
"MarShawn Lloyd",RB,GB,16,"Drafted (Round 16)","The Trophy Wives",NO
"Joshua Metellus",DB,S,MIN,16,"Drafted (Round 16)","JRZ",NO
"Julian Love",DB,S,SEA,16,"Drafted (Round 16)","Unicorn Love",NO
"Hayden Hurst",TE,LAC,16,"Drafted (Round 16)","McGibblets",NO
"Kevin Byard III",DB,S,CHI,16,"Drafted (Round 16)","Dolphin Boobiez",NO
"Khalil Herbert",RB,CHI,16,"Drafted (Round 16)","Kryponite",NO
"Derwin James Jr.",DB,S,LAC,16,"Drafted (Round 16)","The Curious Case of Cookus",NO
"Maxx Crosby",DL,DE,LV,16,"Drafted (Round 16)","Olivators",NO
"Antoine Winfield Jr.",DB,S,TB,16,"Drafted (Round 16)","My Balls Are Afoot",NO
"Robert Spillane",LB,LV,17,"Drafted (Round 17)","My Balls Are Afoot",NO
"Jake Elliott",K,PHI,17,"Drafted (Round 17)","Olivators",NO
"Younghoe Koo",K,ATL,17,"Drafted (Round 17)","The Curious Case of Cookus",NO
"Ka'imi Fairbairn",K,HOU,17,"Drafted (Round 17)","Kryponite",NO
"Xavier McKinney",DB,S,GB,17,"Drafted (Round 17)","Dolphin Boobiez",NO
"Matt Prater",K,ARI,17,"Drafted (Round 17)","McGibblets",NO
"Adam Thielen",WR,CAR,17,"Drafted (Round 17)","Unicorn Love",NO
"Evan McPherson",K,CIN,17,"Drafted (Round 17)","JRZ",NO
"Hunter Henry",TE,NE,17,"Drafted (Round 17)","The Trophy Wives",NO
"Jack Campbell",LB,DET,17,"Drafted (Round 17)","Fat Lazy Americans",NO
"Aaron Rodgers",QB,NYJ,17,"Drafted (Round 17)","Jesus take the wheel",NO
"Mike Williams",WR,NYJ,17,"Drafted (Round 17)","CopperTheBigRedDog",NO
