Player,Position,Team,KeeperRound,AcquisitionType,DraftTeam,IsPriorKeeper
"Christian McCaffrey",RB,SF,1,"Drafted (Round 1)","My Balls Are Afoot",NO
"Breece Hall",RB,NYJ,1,"Drafted (Round 1)","Olivators",NO
"CeeDee Lamb",WR,DAL,1,"Drafted (Round 1)","The Curious Case of Cookus",NO
"Tyreek Hill",WR,MIA,1,"Drafted (Round 1)","Kryponite",NO
"Bijan Robinson",RB,ATL,1,"Drafted (Round 1)","Dolphin Boobiez",NO
"Amon-Ra St. Brown",WR,DET,1,"Drafted (Round 1)","McGibblets",NO
"Ja'Marr Chase",WR,CIN,1,"Drafted (Round 1)","Unicorn Love",NO
"Justin Jefferson",WR,MIN,1,"Drafted (Round 1)","JRZ",NO
"A.J. Brown",WR,PHI,1,"Drafted (Round 1)","The Trophy Wives",NO
"Jonathan Taylor",RB,IND,1,"Drafted (Round 1)","Fat Lazy Americans",NO
"Garrett Wilson",WR,NYJ,1,"Drafted (Round 1)","Jesus take the wheel",NO
"Saquon Barkley",RB,PHI,1,"Drafted (Round 1)","CopperTheBigRedDog",NO
"Travis Etienne Jr.",RB,JAX,2,"Drafted (Round 2)","CopperTheBigRedDog",NO
"De'Von Achane",RB,MIA,2,"Drafted (Round 2)","Jesus take the wheel",NO
"Jahmyr Gibbs",RB,DET,2,"Drafted (Round 2)","Fat Lazy Americans",NO
"Derrick Henry",RB,BAL,2,"Drafted (Round 2)","The Trophy Wives",NO
"Drake London",WR,ATL,2,"Drafted (Round 2)","JRZ",NO
"Rachaad White",RB,TB,2,"Drafted (Round 2)","Unicorn Love",NO
"Marvin Harrison Jr.",WR,ARI,2,"Drafted (Round 2)","McGibblets",NO
"Deebo Samuel Sr.",WR,SF,2,"Drafted (Round 2)","Dolphin Boobiez",NO
"Davante Adams",WR,LV,2,"Drafted (Round 2)","Kryponite",NO
"Josh Jacobs",RB,GB,2,"Drafted (Round 2)","The Curious Case of Cookus",NO
"Cooper Kupp",WR,LAR,2,"Drafted (Round 2)","Olivators",NO
"Travis Kelce",TE,KC,2,"Drafted (Round 2)","My Balls Are Afoot",NO
"Brandon Aiyuk",WR,SF,3,"Drafted (Round 3)","My Balls Are Afoot",NO
"Josh Allen",QB,BUF,3,"Drafted (Round 3)","Olivators",NO
"DJ Moore",WR,CHI,3,"Drafted (Round 3)","The Curious Case of Cookus",NO
"DK Metcalf",WR,SEA,3,"Drafted (Round 3)","Kryponite",NO
"Jalen Hurts",QB,PHI,3,"Drafted (Round 3)","Dolphin Boobiez",NO
"Joe Mixon",RB,HOU,3,"Drafted (Round 3)","McGibblets",NO
"Amari Cooper",WR,CLE,3,"Drafted (Round 3)","Unicorn Love",NO
"James Cook III",RB,BUF,3,"Drafted (Round 3)","JRZ",NO
"Patrick Mahomes",QB,KC,3,"Drafted (Round 3)","The Trophy Wives",NO
"Jaylen Waddle",WR,MIA,3,"Drafted (Round 3)","Fat Lazy Americans",NO
"Lamar Jackson",QB,BAL,3,"Drafted (Round 3)","Jesus take the wheel",NO
"Anthony Richardson Sr.",QB,IND,3,"Drafted (Round 3)","CopperTheBigRedDog",NO
"Mark Andrews",TE,BAL,4,"Drafted (Round 4)","CopperTheBigRedDog",NO
"Kenneth Walker III",RB,SEA,4,"Drafted (Round 4)","Jesus take the wheel",NO
"Michael Pittman Jr.",WR,IND,4,"Drafted (Round 4)","Fat Lazy Americans",NO
"Alvin Kamara",RB,NO,4,"Drafted (Round 4)","The Trophy Wives",NO
"Kyler Murray",QB,ARI,4,"Drafted (Round 4)","JRZ",NO
"Dak Prescott",QB,DAL,4,"Drafted (Round 4)","Unicorn Love",NO
"Evan Engram",TE,JAX,4,"Drafted (Round 4)","McGibblets",NO
"George Kittle",TE,SF,4,"Drafted (Round 4)","Dolphin Boobiez",NO
"David Montgomery",RB,DET,4,"Drafted (Round 4)","Kryponite",NO
"DeVonta Smith",WR,PHI,4,"Drafted (Round 4)","The Curious Case of Cookus",NO
"Malik Nabers",WR,NYG,4,"Drafted (Round 4)","Olivators",NO
"Stefon Diggs",WR,HOU,4,"Drafted (Round 4)","My Balls Are Afoot",NO
"Aaron Jones Sr.",RB,MIN,5,"Drafted (Round 5)","My Balls Are Afoot",NO
"Dalton Kincaid",TE,BUF,5,"Drafted (Round 5)","Olivators",NO
"James Conner",RB,ARI,5,"Drafted (Round 5)","The Curious Case of Cookus",NO
"Rhamondre Stevenson",RB,NE,5,"Drafted (Round 5)","Kryponite",NO
"Zay Flowers",WR,BAL,5,"Drafted (Round 5)","Dolphin Boobiez",NO
"Zamir White",RB,LV,5,"Drafted (Round 5)","McGibblets",NO
"Najee Harris",RB,PIT,5,"Drafted (Round 5)","Unicorn Love",NO
"D'Andre Swift",RB,CHI,5,"Drafted (Round 5)","JRZ",NO
"Tee Higgins",WR,CIN,5,"Drafted (Round 5)","The Trophy Wives",NO
"Kyle Pitts Sr.",TE,ATL,5,"Drafted (Round 5)","Fat Lazy Americans",NO
"Chris Godwin Jr.",WR,TB,5,"Drafted (Round 5)","Jesus take the wheel",NO
"Terry McLaurin",WR,WAS,5,"Drafted (Round 5)","CopperTheBigRedDog",NO
"George Pickens",WR,PIT,6,"Drafted (Round 6)","CopperTheBigRedDog",NO
"Tony Pollard",RB,TEN,6,"Drafted (Round 6)","Jesus take the wheel",NO
"Javonte Williams",RB,DEN,6,"Drafted (Round 6)","Fat Lazy Americans",NO
"Brian Robinson",RB,WAS,6,"Drafted (Round 6)","The Trophy Wives",NO
"Christian Kirk",WR,JAX,6,"Drafted (Round 6)","JRZ",NO
"Foyesade Oluokun",LB,JAX,6,"Drafted (Round 6)","Unicorn Love",NO
"Calvin Ridley",WR,TEN,6,"Drafted (Round 6)","McGibblets",NO
"Devin Singletary",RB,NYG,6,"Drafted (Round 6)","Dolphin Boobiez",NO
"Jordan Love",QB,GB,6,"Drafted (Round 6)","Kryponite",NO
"Mike Evans",WR,TB,6,"Drafted (Round 6)","The Curious Case of Cookus",NO
"Jaylen Warren",RB,PIT,6,"Drafted (Round 6)","Olivators",NO
"Brock Purdy",QB,SF,6,"Drafted (Round 6)","My Balls Are Afoot",NO
"Keenan Allen",WR,CHI,7,"Drafted (Round 7)","My Balls Are Afoot",NO
"Xavier Worthy",WR,KC,7,"Drafted (Round 7)","Olivators",NO
"Jayden Daniels",QB,WAS,7,"Drafted (Round 7)","The Curious Case of Cookus",NO
"Jake Ferguson",TE,DAL,7,"Drafted (Round 7)","Kryponite",NO
"Diontae Johnson",WR,CAR,7,"Drafted (Round 7)","Dolphin Boobiez",NO
"Joe Burrow",QB,CIN,7,"Drafted (Round 7)","McGibblets",NO
"Sam LaPorta",TE,DET,7,"Drafted (Round 7)","Unicorn Love",NO
"David Njoku",TE,CLE,7,"Drafted (Round 7)","JRZ",NO
"Jayden Reed",WR,GB,7,"Drafted (Round 7)","The Trophy Wives",NO
"Christian Watson",WR,GB,7,"Drafted (Round 7)","Fat Lazy Americans",NO
"Cole Kmet",TE,CHI,7,"Drafted (Round 7)","Jesus take the wheel",NO
"Zack Moss",RB,CIN,7,"Drafted (Round 7)","CopperTheBigRedDog",NO
"Isiah Pacheco",RB,KC,8,"Drafted (Round 8)","CopperTheBigRedDog",NO
"Jared Goff",QB,DET,8,"Drafted (Round 8)","Jesus take the wheel",NO
"Chris Olave",WR,NO,8,"Drafted (Round 8)","Fat Lazy Americans",NO
"Roquan Smith",LB,BAL,8,"Drafted (Round 8)","The Trophy Wives",NO
"Gus Edwards",RB,LAC,8,"Drafted (Round 8)","JRZ",NO
