Player,Position,Team,DraftTeam,AcquisitionType,AcquisitionDate,AcquiredAfterWeek11
"Patrick Queen",LB,PIT,"Postino's Banditos","Free Agent Pickup","Waiver Pickup",NO
"Marvin Harrison Jr.",WR,ARI,"Postino's Banditos","Drafted","Drafted (Round 2)",NO
"Brock Bowers",TE,LV,"Postino's Banditos","Drafted","Drafted (Round 6)",NO
"Matthew Golden",WR,GB,"Billy Goat Tavern","Drafted","Drafted (Round 7)",NO
"Kayshon Boutte",WR,NE,"Postino's Banditos","Free Agent Pickup","Waiver Pickup",NO
"Ryan Flournoy",WR,DAL,"Postino's Banditos","Free Agent Pickup","Waiver Pickup",NO
"Nick Bolton",LB,KC,"Billy Goat Tavern","Drafted","Drafted (Round 14)",NO
"Caleb Williams",QB,CHI,"Rafi Bomb Returns!","Drafted","Drafted (Round 12)",NO
"Amon-Ra St. Brown",WR,DET,"Rafi Bomb Returns!","Drafted","Drafted (Round 1)",NO
"Emeka Egbuka",WR,TB,"Billy Goat Tavern","Drafted","Drafted (Round 5)",NO
"Aaron Jones Sr.",RB,MIN,"Rafi Bomb Returns!","Drafted","Drafted (Round 4)",NO
"Kareem Hunt",RB,KC,"Rafi Bomb Returns!","Free Agent Pickup","Waiver Pickup",NO
"Darren Waller",TE,MIA,"Rafi Bomb Returns!","Free Agent Pickup","Waiver Pickup",NO
"Jaylen Waddle",WR,MIA,"Rafi Bomb Returns!","Drafted","Drafted (Round 5)",NO
"Matt Prater",K,ARI,"Rafi Bomb Returns!","Free Agent Pickup","Waiver Pickup",NO
"Edgerrin Cooper",LB,GB,"Rafi Bomb Returns!","Drafted","Drafted (Round 15)",NO
"Kyle Hamilton",DB,BAL,"Rafi Bomb Returns!","Free Agent Pickup","Waiver Pickup",NO
"Danielle Hunter",DL,HOU,"Rafi Bomb Returns!","Free Agent Pickup","Waiver Pickup",NO
"David Njoku",TE,CLE,"Rafi Bomb Returns!","Drafted","Drafted (Round 7)",NO
"Theo Johnson",TE,NYG,"Rafi Bomb Returns!","Free Agent Pickup","Waiver Pickup",NO
"Tyrone Tracy Jr.",RB,NYG,"Rafi Bomb Returns!","Drafted","Drafted (Round 6)",NO
"DK Metcalf",WR,SEA,"Rafi Bomb Returns!","Drafted","Drafted (Round 3)",NO
"Rashid Shaheed",WR,NO,"Rafi Bomb Returns!","Drafted","Drafted (Round 9)",NO
