Player,Position,Team,KeeperRound,AcquisitionType,DraftTeam,IsPriorKeeper
"Jonathan Taylor",RB,IND,1,"Drafted (Round 1)","Jesus take the wheel",NO
"Christian McCaffrey",RB,SF,1,"Drafted (Round 1)","The Curious Case of Cookus",NO
"Justin Jefferson",WR,MIN,1,"Drafted (Round 1)","Kryponite",NO
"Austin Ekeler",RB,LAC,1,"Drafted (Round 1)","Unicorn Love",NO
"Dalvin Cook",RB,MIN,1,"Drafted (Round 1)","Fat Lazy Americans",NO
"Derrick Henry",RB,TEN,1,"Drafted (Round 1)","McGibblets",NO
"Joe Mixon",RB,CIN,1,"Drafted (Round 1)","The Trophy Wives",NO
"Alvin Kamara",RB,NO,1,"Drafted (Round 1)","My Balls Are Afoot",NO
"Najee Harris",RB,PIT,1,"Drafted (Round 1)","Zach Wilson / Comfy In Chair",NO
"Stefon Diggs",WR,BUF,1,"Drafted (Round 1)","BeaverFever / JRZ",NO
"Aaron Jones Sr.",RB,GB,1,"Drafted (Round 1)","Olivators",NO
"D'Andre Swift",RB,DET,1,"Drafted (Round 1)","Dolphin Boobiez",NO
"Travis Kelce",TE,KC,2,"Drafted (Round 2)","Dolphin Boobiez",NO
"Davante Adams",WR,LV,2,"Drafted (Round 2)","Olivators",NO
"Nick Chubb",RB,CLE,2,"Drafted (Round 2)","BeaverFever / JRZ",NO
"Cooper Kupp",WR,LAR,2,"Drafted (Round 2)","Zach Wilson / Comfy In Chair",NO
"Leonard Fournette",RB,TB,2,"Drafted (Round 2)","My Balls Are Afoot",NO
"Kyle Pitts Sr.",TE,ATL,2,"Drafted (Round 2)","The Trophy Wives",NO
"Mike Evans",WR,TB,2,"Drafted (Round 2)","McGibblets",NO
"CeeDee Lamb",WR,DAL,2,"Drafted (Round 2)","Fat Lazy Americans",NO
"Tyreek Hill",WR,MIA,2,"Drafted (Round 2)","Unicorn Love",NO
"A.J. Brown",WR,PHI,2,"Drafted (Round 2)","Kryponite",NO
"DJ Moore",WR,CAR,2,"Drafted (Round 2)","The Curious Case of Cookus",NO
"Kareem Hunt",RB,CLE,2,"Drafted (Round 2)","Jesus take the wheel",NO
