PosRank,OverallRank,Round,Player,Team
1,13,2,Josh Allen,BUF
2,25,3,Lamar Jackson,BAL
3,26,3,Joe Burrow,CIN
4,27,3,Jayden Daniels,WAS
5,37,4,Jalen Hurts,PHI
6,38,4,Dak Prescott,DAL
7,49,5,Matthew Stafford,LAR
8,61,6,Trevor Lawrence,JAC
9,73,7,Brock Purdy,SF
10,85,8,Patrick Mahomes II,KC
11,97,9,Jaxson Dart,NYG
12,109,10,Bo Nix,DEN
13,110,10,Jared Goff,DET
14,121,11,Kyler Murray,MIN
15,133,12,Tyler Shough,NO
16,145,13,Jordan Love,GB
